10C 8C 9S 6S 3H 3S JD ,    Pair
KS JC 6C KC QC 5D 8D ,    High Card
4D 7H 10H 2H 5C 2D 7S ,    High Card
KH 9C 2S 5H 3C AC 8H ,    High Card
AH 7D 3S 2C 8C 10H 7H ,    High Card
2S 3H QS QH 4S 9D AS ,    Pair
7S 4H 5H KC JH 8D 4C ,    High Card
QH 10C 8C AC 3S 2S 8H ,    High Card
3D 4H AH QD 3H 6S 6C ,    High Card
9H 7D KD KC 4D 5S 5D ,    Two Pair
6D 4C 9C QS JD 8S JH ,    High Card
KH 9S 3D 4S 8D 2D KS ,    High Card
6S QH 9C 8S 9H AD 6D ,    High Card
AS JD JS JH 5D 7H AH ,    Pair
7C 4S 9H 10S 4C KS 5D ,    High Card
8C 6H 10D JS AS 2D 9S ,    High Card
4D JC KC 4H KD 3H AH ,    High Card
KH 9C QS JD 2C AC 10H ,    High Card
4D QD 4H KS 7S QC 7C ,    Pair
KH 10D 9D JH 10C 9C 3D ,    High Card
4S AC 6H 2C 8C JC 9H ,    High Card
10D 4C 4D 5C QD AD 10C ,    Pair
JS 3S 5S 6C 5H KD 8D ,    High Card
8C KC 6S 7D 6D 8S 9C ,    High Card
KH 2S 10S JD 7H 9S QS ,    High Card
10C 3H 9C 5D 5H 8C JD ,    Pair
JS 7H KS 4S 5S 2S 2C ,    Flush
JC AD 6D 9S 7D AS KC ,    High Card
AS 5S 3D QC 6H QD 9C ,    High Card
AD 10H AC 6S JS KC QS ,    Pair
4C 6C JC AH 9D 7S 7D ,    High Card
5C QH KS 10D 8H 3S 3H ,    High Card
2S 8S JH 6H 5S 4S 5D ,    High Card
9C 9D 4D 6S AD 9S KS ,    Pair
5C 9H 3D QS 10S 7S 7H ,    High Card
2S 3S 5H 8S 4C QC 6S ,    Straight
QH JD 10S 7D AC 9H JS ,    High Card
AD JH 8D 6C 3D 6D 8H ,    High Card
QD 10D JC 3C 10C 8C 3H ,    High Card
5H 2C 9C 5S 6H 7C QC ,    High Card
7D 4C 9D 10C 8H 6S KC ,    High Card
QH 8S 2D 5D 3D JC KS ,    High Card
10D 8S QS 8C KS 3D 5S ,    High Card
7D 8H 5C 4D 2H JC 9D ,    High Card
2C 3S 6H KC 3C 2S AS ,    High Card
KD AH 7H JH 5D 8D AD ,    High Card
QD 7C 9S 6H QC 9H 2S ,    High Card
4H 3S 10D 2C 10H 2H AH ,    Pair
4S 5S 8D KS QH 10S QS ,    Pair
QH 7H 4H KD 4C QD 6D ,    High Card
KC 10H QS KS 8S 4C 2H ,    High Card
8H 6S 3C 3D QC 4S JH ,    Pair
5S 5D JS 8D AH AS 10D ,    Two Pair
2C 7S 3S 6H JD 2S 9S ,    High Card
6D 6S AC 8D 7C 7D 5D ,    Two Pair
8S 3H 10C 6H 7S 2S QS ,    High Card
AS KD 9C JD JC JH AH ,    Pair
8S 2H 2D JD 7D AS 10H ,    Pair
